star_rating	review_body
5.0	We tried several different bottles with our breastfed newborn twins including Born Free, Dr. Brown (both regular and wide neck), Tommy Tippee, MAM and Playtex. While they could take all of those bottles they struggled with nipple confusion and feedings were a bit of a fight. These bottles were a lifesaver!<br /><br />PROS<br />-Cut down on gas<br />-Great for breastfed babies<br />-Not a lot of parts to wash like some other bottles<br /><br />CONS<br />-Hard to see measurement markings
5.0	Doesn't Leak Even up side down.  Took my twins 10 months old only 2 minutes to figure it out.
5.0	Great for saving toys from falling out of stroller or car seat!
1.0	My least favorite diaper covers. I'm selling mine off. The fabric is so thin you can see right through it. It's also the ONLY diaper cover in my collection that is prone to staining around the elastics. Sunning and lemon did not help. (EBF baby)
5.0	Much better than the first bottle brush I had (that rusted after 2 months of using it). I love the suction cup that allows it to stand on our sink. It makes it far more sanitary. I will definitely be purchasing this one again after it wears out! (Although, I've had it for 2 months and it's still in mint condition!)
1.0	Very difficult to adjust the harness..I should have looked for another type..not what I expected...i wouldn't recommend it to anyone
5.0	I read a lot about the anxiety people have about losing their Fitbit because it is so small. I ordered the first set for myself and found a lot more uses than I had intended! First I feel secure that I won't lose my pedometer with the safety clip attached to my shirt. I use two to clip a small laundry bag on the front of my treadmill and store the tv remote and phone so I don't have to get off the treadmill. I also clip the Fitbit with the safety leash to my scrunchie in my hair when I am in the bathtub or hot tub. Then I ordered another Fitbit for my girlfriends birthday and another set of the safety leashes for her. I think they are great!
5.0	bought it on behalf of someone, but it did come with rave reviews that's why my friend wanted this.
5.0	This bottle was just what I needed for a baby shower I was giving for my daughter in law...I filled it with  animal crackers and made a guess the amount game with it... very good delivery....thanx
5.0	Loved this item for my grandson. It makes bath tub so much fun and easier for my daughter they love it too.
5.0	This organizer has lots of pockets to fit a variety of objects.  I was happy with the adjustable strap on the top and didn't even need to use the bottom strap.  I even had room to put a spare change of clothes in it for my toddler so I don't have to keep hauling them around in my diaper bag.  Great idea!
5.0	just what we needed to keep the puppy on our side of the office at our business.
5.0	By far this is my favorite stroller. I have a newborn and toddler and it is perfect for my needs. The storage underneath is quite large. My favorite feature are the six different seating positions. If my toddler falls asleep I can easily recline the seat to make her more comfortable. It really is a smooth ride too. It folds down seamlessly, but it is tad bulky for my trunk. But it doesn't bother me.
1.0	It worked fine for the first 24 hours, and then the sensor quit working and the light remained lit all the time.  I had attached it to the wall with the double-sided tape that came in the package, and when I removed the night light from the wall, it damaged the wall.  See photos.  I live in a rented apartment, so I'm going to have to pay to have the damage repaired.
5.0	Exactly as described and easy to wash off.  A MUST for parents of toddlers.  Only downfall is that unlike the JUMBO crayons, these will break easily.  Wish they made the Jumbo crayons easy to wash as well.
5.0	Your company is one of the best companies I've ever had business with. They serve the public with integrity and good will. ..
5.0	My grandson loves this walker.  He was only 4 months old when he started to use it.  It was easy for him to move around in it.  He loves the music that it makes when he touches the radio on it.  Great product.
1.0	This item absolutly disgusts me. Not only are black women YET AGAIN depicted as loose, unintelligent (the usage of ebonics is such a 20th century pitfall of our civilization), now there is a wig depicting the plight of a black woman. Making it 'OK' for little girls to emulate a skank who can't make good choices therefor having a child out of wedlock and making it ok for young boys to want to have unprotected sex and father children they can't take care of.  I am going to encourage people NOT to buy from this seller and buy into the americanized propaganda of hatred.
5.0	I went back to work full time at 12 weeks, knowing that I was going to have to pump b/c I work 12 hr days.  at first I was using a hands free nursing bra, but that became time consuming and cumbersome. I happened to stumble upon this product while meandering through Amazon and it is AMAZING. I love that it means I don't have to change clothes every time I need to pump (4-5 times a day) The built in bra support isn't fabulous, but the fact that it's a nursing tank and a pumping tank combined (and one that actually holds the flanges in place at that) well make up for the bra parts of things.  I agree with other reviewers, you need to buy more than one of these.  I only bought one at first, but since I live in them during the work week, quickly decided that purchasing a couple extras was absolutely necessary rather than washing and drying every night.  Thanks Rumina for a great product!
5.0	Love knowing that it's all one piece. My baby really likes this pacifier. We tried several different kinds, but she only wanted this one.
5.0	This calendar is beautiful.It comes with lots of stickers and places for photos on each month. The best part is the pages are full scrapebook size and are perforated for easy removal when the year has passed which will make a scrapebook easily, even for the craft challenged. The graphics are very nice and the size makes it a piece of art and part of the room's decor. Well worth the money
5.0	These bibs have held up to some pretty messy meals and come clean with no stains. That's a winner in my book.
5.0	My granddaughter love this!  She gets excited to see the balls go down and it colorful makes her giggle and seems to be built good.
1.0	We got this cover to replace our original Quest raincover we had lost. It is an original MacLaren accessory and supposedly fits the models Triumph AND Quest - but it runs about 1-2 inches too loose for our 2008 MacLaren Quest. I have to use a clip and fold over to tighten it, otherwise it would just slip off the front of the canopy. We haven't been caught in a downpour yet, but my improvised solution might not be rain proof.
5.0	I gave this gift to my grandson for his new baby.  I just love getting the pictures every month with his age.  These stickers are a great idea.
5.0	The precious planet jumperoo is far and away my baby's favorite toy in the world. He is delighted with the toys, music and jumping action. The bright colors and animals are wonderful. He also has a hand-me-down exersaucer which he finds BORING! If you're trying to choose between the two - go for the jumperoo.
5.0	These stick well, but my daughter (16mos) can pull them off if she is left unattended.  I just make sure I keep an eye on her while we are at the table.  The patterns are educational and colorful and my daughter responds very positively to these placemats.  There is adhesive on all four sides which is nice and this product offers peace of mind because I know her food is going on a clean surface.
5.0	These are the only pacifiers my little one would take! We had tried the soothies and she just couldn't hang on to them-they kept popping out! These are much easier for her to keep in. She can soothe herself to sleep in the middle of the night now! Happy mama.
5.0	I really like this product so far.  I put it in my diaper pail and then just wash it with my diapers every time I do a load. It seems to be holding up well and serves it's purpose nicely!
5.0	Bought these for my niece and nephew.  Being twins, they spend a lot of time laying in things.  This has changed my sister-in-law's life!  They are 2 months old and are fascinated by them.  They pretty much fit on anything (Snug-a-bunnies, moses baskets, car seats, bouncer seats etc).  Great product!
5.0	My family and I loved it!!! It arrived in good condition and on time. It does NOT have a bad smell.
5.0	Yep, he's stuck on this pacifier. So I have no idea what will happen if this company suddenly goes off the deep end. That makes me want to start stockpiling as I type.
5.0	Truly lovely!  I bought it as a gift for my granddaughter, and my daughter loves it, it's pretty, feminine, and not something everyone else has.
5.0	I started potty training my daughter at 18 months and after a couple of months of training, she was in big girl undies. I put this in her car seat to protect it. Early on, she had an accident in her seat and all I had to do it wash the piddle pad and everything was like new! With only one accident, the pad is still like new. I love it!!!
5.0	I read many reviews and finally registered for a competitor's pump, but when I saw Dr. Brown/Simplisse advertising soft, flexible breastcups and found this pump on sale, I didn't pass it up. With iffy reviews on every pump, who could choose confidently? According to the instruction booklet, the first pumping might not yield any milk. It didn't. In fact, I pumped about an ounce total for the first five pumps. Now I get 2-3 ounces per breast. I recommend buying a hands-free pump bra too because it allows you to relax during pumping. Relaxing is paramount! If you watch every drip with cramped hands (and only fill an ounce) and can't scratch an itch or blow your runny nose, you'll be miserable and hate pumping all together. I never used another style of pump, but I find this one gentle, effective, and quiet enough (hey, it is a machine).
5.0	I was searching for a good video baby monitor for weeks. I had an audio-only baby monitor, but it's a pity I could not see the condition of my son, e.g. his sleeping position, whether the blanket is in place, etc.  Unfortunately, most video baby monitors are either analog (interference) or without the talk-back feature.  My old audio-only monitor is analog and it has quite a bit of interference, but it has a good feature: two-way radio for talking back to the child -- a feature that I feel very important.      This 2.4GHz Digital Wireless Baby Monitor System with Night Vision meets all my expectations, at a very affordable price comparatively.  It works immediately out-of-the-box, no interference, clear audio and video, good night vision, and I can talk back to my son.  The voice activated alarm and video works pretty well. Only one small complaint: it wakes up from sleep mode and turns on the video/audio for only a brief moment (like 5 seconds) which is too short, it would have been better if the duration is like 30 seconds or configurable; but it's not a big deal - I can always turn off the sleep mode immediately with a touch of a button.    I highly recommend this baby monitor.
5.0	I bought this duck because it had many features i looked for, which were the duck is submersible in body of water and shows temp. with slightest drop of water on the bottom; has three nice changing colors (blue for cold, green for ideal, and red for hot) that help indicate best temp for the baby; and sturdy/strong feel. You wont go wrong with this product, will last a while.<br /><br />However, one thing that i may say i did not like was the slightly large range in acceptable temp. for the baby (96-102 F).
5.0	I wish I had known about this bra with my first born and also before I bought another Medela for my second.  I love that it is adjustable so you don't have to buy another one after some of your baby weight comes off!
5.0	I love it! I ordered it to specifically have on a trip from Montana to Louisiana and it was a great investment. My son is a little small for an 8 month old and sitting in the restaurant high chairs his chin barley came above the table if we were lucky. This puts him at a good height and right at the table with us. It was a little difficult the first time (I didn't read the directions)  but after that it was a piece of cake. Wish I had ordered 2 so I could have one at home and one in the car!
5.0	works awesome! Absolutely recommend it!
5.0	These flanges work perfectly with my spectra s1 pump, which is amazing since spectra includes size 24mm flanges with their pumps and they only work with wide neck bottles. These flanges work great and also fit perfectly with my medela bottles (to pump into) and my medela adapters for when I want to pump directly into bags. I would definitely recommend them.
5.0	Absolutely great organizer. I use it as cosmetics holder and it works great.
5.0	Absolutely the best. Can take anywhere for piece of mind. And spying on other kids too! Easy two way communication.
5.0	This walking toy is absolutely adorable! Both my son and I enjoy this toy. The crocodile's tail/back half of his body wiggle from side to side as it moves along. As it swings from side to side, it makes a click clack sound. The sound isn't obnoxious either, and I don't mind it at all. I actually think the whole thing is really cute. The string is plenty long for my 1 year old to pull and move with. The picture is a bit deceiving, as it the green of the crocodile and the string is not nearly as neon. I don't mind this, and I am actually happy that is was muted in comparison.
1.0	Disappointing. Its not sturdy enough. It feels like its going to fall anytime. I wish it looked exactly like in the picture.
5.0	Great spoons!  We've tried other plastic spoons and the food slides off easily.  These plastic spoons have just the right texture so that the food doesn't slide off before it makes it into baby's mouth.  Need to buy more!
5.0	My testers, ages 10 and 4, loved Squeez'Ems right away. We found them simple to use and easy to clean. They're especially great if you need to take drinks on the go or in a lunch pale and you've run out of juice boxes, or if you'd like to get away from using juice boxes altogether. You can also use them for semi-liquids such as apple sauce or yogurt. See my review with video here: http://wp.me/p4L1Zf-3f .
5.0	Love it for days out with the baby. We use it on the back of a City Mini and it fits perfectly. Holds quite a bit and is easy to install and uninstall quickly.
5.0	My daughter received this item for Christmas. She really loved this item and it is also very cute and sturdy!
5.0	I can rinse these in the sink and let them air dry. Great for if you don't have in unit washer/ dryer. The Seuss print is a nice gender neutral choice.
5.0	Love this bedding set! The colors are soft but not too pale and the paisley is adorable! My girl is nine months and it is still holding up strong. I have used the  blanket quite often and washed many times in cold water. The colors have not faded. Overall, it's a great buy!
5.0	Love that this car seat is safe! It is also very comfortable for my little one! I would recommend to anyone.
5.0	My twin toddlers started daycare recently. I was using permanent marker to mark everything, including sippy cups, lunch box containers, etc. One wash through the dishwasher and everything had to be relabeled each time. I purchased a few types of labels, but these are my favorite due to the self-laminating feature. They are easy to use, when you remove the strip to laminate the label, your writing doesn't smudge and the labels stick very well. I labeled several items and they have been through the dishwasher several times, no problems at all - the labels work great! I will definitely be buying more.
5.0	Love love this tec plush for my toodler
1.0	I tried to like this product. I followed the directions, and it simply would not dissolve in water or witch hazel. It just stayed as oily globs no matter how much I shaked. The smell was nice, and I was looking forward to using it, but since you aren't supposed to use it full-strength, I couldn't have concentrated spots on some of my wipes. I purchased a much better solution that uses many of the same ingredients from a local merchant, and I am very happy with it. This useless stuff is on it's way back to Amazon!
5.0	I absolutely love this mobile. When my son was young I used to put him to sleep by keep turning this on with the remote. It worked great he was sleeping in no time. I received 2 of the wind up mobiles for my baby shower but never really used them . I put them on the crib but they are mostly for decaration. This is the best mobile ever. My mom said she wished they had something like this when i was a baby!!! lol
1.0	I purchased this for the same reason everyone does: it's cute and makes diaper changing easier cause don't gotta put their legs in pants.<br /><br />Sadly this is probably the worse purchase I ever made. It zips in the bottom and has button straps. At first before LO was born I thought it was a great idea. Until I actually used it on her. Putting it on her was horrible! She hates it. I have to put this over her head and it's so thick that it just covers I too if her face! It doesn't even scrunch under her head like how her body suits and other sleep sacks do. She hated it! And then when I finally get it down it's too small!!<br /><br />It says for 0-6 months! my LO is only 2 months! LO wears size 3 months clothing so she's not one of those extra big babies. This has a design flaw. It would be so much more useful if the zipper was down the middle like the Carter's sell sacks instead than have it only at the bottom. It also made changing uncomfortable for her because we have to roll the sack up and it causes a big bulge under her lower back.<br /><br />Total waste of my money because LO couldn't use it at all!
5.0	Very effective. Was pleased that I could properly secure the closet doors and keep my little one out. Highly recommend
5.0	EASY ASSEMBLY. NO SHARP EDGES
5.0	This was an open box item, but was still inside a plastic bag and good as new.  I bought this for my little cold natured chihuahua so she could be elevated off the drafty floor.  She loves it!  It is low enough for her to get on and off easily and looks nice in the living room.
5.0	This play yard is sturdy and easy to set up.  Amazon was where I found it to be the cheapest.
1.0	Very disappointed in this product for the price.  The sound on this item did not work when received.  This product was definitely NOT worth the money that was paid for it.
5.0	I have three children ages 5, 3 and 12 months.  I bought the Alpha Omega seat for my oldest, loved it, and when I needed a bigger seat for my second child, I bought another one.  Now I need yet another seat for my youngest and will purchase one for a third time.  Some great features are the extremely easily adjustible height position (all others are clumsy), the removeable base for booster function.  It also has a wide age and weight range, rear facing up to 40 lbs, front facing in the booster function up to 80 lbs. (the law in my state says 8 years old or 80 lbs in at least a boster seat).  I was reading some of the other reviews and must say to get any car seat securely in the vehicle, you must sit in it.  If you go to a safety check point, this is what they will do.  Also, I have been an ER nurse for many years and have seen what car accidents can do to children in substandard seats or children secured improperly into their good seats (this happens more often than I can say).  I totally recommend this seat for safety conscious parents, and that these same parents get to a car seat safely check to have their seat properly installed.  As a sidebar, almost all of my co-workers in the ED that have small children also have this seat for many of the same reasons!!.
5.0	When baby proofing our cabinets, I noticed my daughter had a tendency to still manage to get her fingers in the door when facing a normal child lock.  These locks fix that problem.  As far as she's concerned the cabinets that have these installed may as well be just ornamental.  She doesn't even try to open them anymore.  They keep the doors completely closed and locked.  The magna-key is easy to use.<br /><br />My one caveat is that they are a bit fiddly to install.  And with certain types of doors, there may be bits of metal in the corners that interferes with the locks.  But overall, I'm very happy with these.  Be sure to buy a spare key though - just in case.
5.0	I bought this as gift for a new mother.  She said it is great and she is glad she put it on her gift registry.
5.0	The best creative harness in the world. It keeps the child safe and within your sight. It feels soft to the touch so that it doesn't hurt the child. This is really helpful when shopping. Recommend this to all mothers and fathers.
5.0	I just bought this for my 1 year old and have used it a few times already. It has worked out great and is very sturdy. We have received a lot of compliments on it. I really like bringing it into a restaurant rather than using their gross highchairs. It is pretty easy to set up too. We brought it to use for my son's 1st birthday party and he got cake and frosting everywhere on the fabric but it all washed out easily. The price is great too!
5.0	Be careful when installing the drop side.  You may need help with this step to make sure that everything is aligned properly and that the plastic tabs (at the bottom on each side) don't get stuck the wrong way.
5.0	We got received this bag as a baby gift from my sister.  It is great.  Yes it is big, but it holds EVERYTHING!  I also have the smaller bag for short trips to babysitter or church but seems like I can never fit everything I want in it.  So many little compartments to stash things.Worth every penny!
5.0	If it weren't for these amazing anti-finger pinchers my daughter would not have any fingers! She's at the terrible two stage and slams (or tries to) doors with serious intensity, but thankfully bc of this item the doors just bounce back after only a slight movement! I also use them to keep my front door open when it's windy out!
5.0	This is a great rocker and bouncer!  Why buy a bouncy seat?  For the same amount of money you buy this rocker that will stay with your baby from birth to 2 years at least!  I love it!  The toys on the bar are engaging.  The vibration is perfectly soothing!  And, the kick stand is great for smaller babies that are taking naps.  A must buy for any baby!
5.0	I love it and best of all baby loves it
1.0	"I've been reading a lot of reviews on bottle warmers.  Some heat up bottles in 1-5 minutes.  Well I have a way to make it even quicker without using a warmer. Assuming you're using formula (this won't work for breastmilk) this is what I do.  I used to buy the liquid formula which took forever heating on the stove.  Now I buy the powder formula.  I keep on the kitchen counter a pitcher of sterilzed water, the powdered formula can and a glass measuring cup.  When my 3 month old starts fussing for a bottle I pour the water in the measuring cup and put it into the microwave for 15 seconds. I only put water in the microwave, not the formula. While it's in the microwave I get the bottle ready (which I keep out of sight).  By then the water is done.  I pour it in the bottle, add 2 scoops, shake and I'm done. It takes less than a minute to make a bottle for my son.  Just about every night I wake to his \\""beginning\\"" fusses, which are more like moans.  I get the bottle made right before it turns into a full blown cry!!! Plus I don't even need a portable warmer because I can put more water in the microwave for like a minute and store it in a thermos.  So it's still warm for when I need to make a bottle.  Again I pour, add 2 scoops and shake!! Makes life so much easier.  Don't waste your money.  And Babies R Us sells a 2 lb can of baby formula (powder) in their brand (especially for baby) for $12.99.  If you've tried it and you don't like it because of the bubbles once you shake it add one tiny drop of infant gas drops.  Works wonders!!! Just passing info along.  I don't like it when mom's spend money on something that could go better for something else, like cute clothes!!! or diapers!!"
5.0	I wish I had these for all my kids! Got them for my youngest whose 3 months and ended using for her and my toddler since they are so nice! Great buy!
1.0	I have a square standup shower and find it hard to prop my leg up high enough to shave my legs with relative ease.  I thought this would be a great solution.  It falls right off the wall, every single time I put any pressure on it at all.  When you stick it on the wall and test with your hands, it seems to hold.  But the moment I put my leg up, NOT even putting all weight on it, the thing pops off and falls to the ground.  The idea is great, but execution is worthless.
5.0	We keep a box of these downstairs and upstairs at each of our diaper changing stations.  At each diaper change we use these bags to place our dirty diapers and wipes and we keep a trash can in our garage that we throw the dirty bags in.  Much better than using a diaper pail and keeping dirty diapers in a room.  We also keep some in our diaper bag.  Love them!
5.0	I bought this for a baby gift.  When I asked the mom what she could use for her already 6-7 month old baby, she said she was interested in a walker.  She basically left the selection up to me, but did mention that her little boy was not a &#34;light-weight.&#34;  Other walkers I looked at had lower weight cut-offs.  I described the Safety 1st Safari one to her and she liked it.  Well.... now that I've received it and given it to the baby, I know it has made a real hit!!  He almost immediately began moving in it, and now is reportedly scooting all over the place.  Also, the price on amazon was far better than at my local store!
5.0	I'm good very satisfied.
5.0	I love it! Very fast shipping!
5.0	I got this toy for my 7 month old baby boy. He enjoys playing with it a lot. Very good toy.
5.0	Fast shipping. Works perfect and is light for our hot weather.
5.0	The set was better looking & more functional than I thought it would be!  It was a gift to my granddaughter & she loves it.
5.0	My son loved the gym. We would go to sleep with it and we knew when he woke up because we would hear the music.  My son is 16 now but I could remember the music.<br />It is a must have
5.0	I can't even get over how absolutely adorable this is! It makes me want to starve myself for six months just so that I can squeeze into it. That's a little dramatic, and I'm never going to do that, but! I would totally wear this. If it was an adult size.<br /><br />It is a one piece poodle skirt outfit, and my absolute favorite thing about this, besides everything is not underneath the poodle skirt, there is a lining that will protect your little girls skin from the material of the tutu.  But, the material of this tutu doesn't seem to be the regular type of tulle... its really soft, which I have never seen before on a tutu. Maybe I haven't paid close enough attention to the ones for little girls, but the ones that I have always had, when I was a kid and a ballerina, they were always just so itchy.<br /><br />There are 3 layers of tulle, and each layer is sewn on with a double stitching with a line across the top with the shiny decorative additions. In the tutu, there is the only glitter through it on the top layer, which is just fine because I think adding any more throughout the rest of the outfit might be a little overwhelming.<br /><br />The extra ruffles that are sewn on, the pink, on each layer has a really nice strong stitching throughout it I definitely would be confident in knowing that a little girl could wear this and still be able to play without it getting ruined.<br /><br />As for the top, I love that the decorative shiny doesn't go all the way around. And that it's a really soft cotton.<br /><br />I would definitely recommend this to parents who have beautiful little girls who like to be a princess, ballerina, or even just love to play dress up. This is absolutely adorable, and has the perfect amount of poof in the tutu... its just adorable...<br /><br />I received this product at a discounted rate for an honest review.
5.0	You can use them on almost all toys, I just recommend that you wash them before you use them as babies tend to put them in their mouths.
5.0	perfect and nice stroller！！！！
1.0	When this was delivered, I just knew my boys would love the Toy Story theme on it.  Unfortunately they haven't yet seen it.  I opened the package and the smell on this was so strong, it was overbearing.  I was going to the basement anyway so I brought it downstairs to air out.  It was weeks later and you could still smell it, albeit not as strong.  It makes me wonder what kind of toxins there are to produce this smell.  I've held onto it too long to return it but I doubt it will be used.
5.0	We have been using these bibs for almost 2 years!  We bought one boys and one girls for our twins and they have really held up great.  I don't put them in the dryer but occasionally one will get in there with no problem.  I really like the inside out pocket so the food doesn't get stuck in the seam. <br /> <br />Highly recommended!
1.0	Please do not buy this crib. I bought 2 of these and the brackets holding the mattress base are TINY and the base always tends to slip off of time. Many times the mattress has collapsed. Luckily my child was not in it otherwise he could have suffered serious injuries. There is a design fault that endangers life and still these guys have no moral qualms about selling these cribs.
5.0	OK so nothing is perfect it cant fly , do my dishes or change the baby and it could use an optional shoulder strap .. which I spent 5$ and bought . Otherwise this bag rocks. its sturdy , functional , organized and pretty.I carry so much in it.. here is the list.<br /><br />6 Standard Dr. Browns bottles - 2 in each outside pocket 2 in each inside end pocket<br />10 size 2 diapers<br />1 pkg pacifier wipes<br />1 travel container butt wipes<br />1 kushies large changing pad<br />2 sleepers 2 onsies 1 pair of socks<br />1 tube butt cream<br />1 bottle gas meds<br />1 good size round jar of glycerin suppositories ( poor baby has intestinal issues)<br />1 battery powered formula mixer<br />2 round formula dispensers<br />2 pacifiers ( daily use )<br />2 pacifier holders<br />1 emergency ( storage ) pacifier<br />1 wet bag<br />1 emergency spit up cloth<br />1 daily spit up cloth<br />1 baby key ring<br /><br />AND I STILL HAVE ROOM Yay!<br /><br />yes the bag costs more but I can find everything I just listed .. without looking.<br /><br />buy it
5.0	It was purchased as a gift, it has noy been used yet, but the recipient was excited about it.
5.0	We live in an apt. so space is always an issue.  I wanted to get a highchair for my son, but didn't want to clutter the small eating area in the kitchen.  Wow, when I saw this new product I decided to give it a try (especially since the cost was so low).  I've been using it for 1 week and I love the convenience.  I keep it strapped to a kitchen chair and find it easier to feed my son rather than using his rocking chair or infant car seat.  My weak back is also happy.  I also love the fact that I can now feel more confident about inforcing family dinners at the table. <br /> <br />My son is quite active so feeding on the lap is by far a bad idea.  We are going to visit family in FL next month and I'm so thrilled that I can bring this product along.  Thanks Fisher-Price . . . . you've done it again!
5.0	My baby is really good at escaping from swaddled, but still startles herself awake when she isn't swaddled.  We ordered the Woombie when she started escaping from her Miracle Blanket every time.  It worked out great!  She can't escape from it, but she can wriggle her hands up to suck on them through the fabric, which she likes.  It is still tight enough to keep her from startling awake.  It unzips from both ends which is great for diaper changes.  We haven't had any problems with the zipper, it's under a soft cover with a snap and does not bother her skin.  I recommend buying two, one to wear and one to wash!
5.0	These muslin blankets are fantastic! Although soft out of the package, they continue softening with use- 11 mths in and they are simply luxurious. The prints haven't faded at all, and although definitely worn in, they show no signs of wear- not a single loose thread. Initially, I used these to swaddle our newborn, and they've been subsequently used to cover babe when nursing in public, to block the sun/wind in the stroller or car seat (I drape the blanket as a canopy), to lay him down for diaper changes (they wash very well), and of course as great snuggley blankets. They are lightweight enough to use in the sweltering summer heat but work just as well as an extra layer of insulation under a heavier blanket in winter. I have several other Aden + Anais blankets that come from their &#34;boutique&#34; line (i.e. much pricier), and they haven't worn nearly as well. Although the prints are a bit more attractive, the edging on those has shrunk significantly creating an oddly puckered shape. If I could think of a reason to buy more muslin blankets, I would forego the boutique and repurchase this 4 pack.
5.0	It is very good the size , weight and how to use it also how to arrange bottle equepment every one can use the devise
5.0	We didn't use any pacifiers with our eldest since we are a natural, breast feeding family.  Then our youngest was born and started teething at two months. This was the only thing that brought relief to her mouth and my breasts ( which she tried chewing).<br /><br />You can stick them in the fridge or freezer to cool them!<br /><br />Only con is they are the same color as our hardwood floors, so the are difficult to find if dropped.
1.0	I have some of the older Avent cups that have three pieces to the spout and they never leaked at all. So when I bought the new spouts I did not think that they would leak either but I was wrong. Avent has changed there spouts to just two pieces and the air hole leaks fluid after your child begins drinking from the cup. I thought it was just my old cups so I went out and bought new cups and they do the exact same thing! I really thought these were great products with my first two kids but now with the third I am second guessing the quality of the products.
